id,label,left_name,left_addr,left_city,left_phone,left_cc,left_class,right_name,right_addr,right_city,right_phone,right_cc,right_class
1,0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719
2,0,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623
3,0,` center stage plaza hotel ',' 1 main st. ',` las vegas ',702/386 -2512,american,436,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5
4,0,` sa tsu ki ',' 3043 buford hwy . ',atlanta,404/325 -5285,asian,415,` havana sandwich shop ',' 2905 buford hwy . ',atlanta,404-636-4094,cuban,695
5,0,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,580
6,0,` china grill ','60 w. 53rd st. ',` new york ',212/333 -7788,american,219,seryna,'11 e. 53rd st. ',` new york city ',212-980-9393,japanese,59
7,0,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,` la caravelle ','33 w. 55th st. ',` new york city ',212-586-4252,` french ( classic ) ',39
8,0,` tang pavillion ','65 w. 55th st. ',` new york ',212/956 -6888,asian,356,menchanko-tei,'39 w. 55th st. ',` new york city ',212-247-1585,japanese,627
9,0,aquavit,'13 w. 54th st. ',` new york ',212/307 -7311,continental,24,oceana,'55 e. 54th st. ',` new york city ',212-759-5941,seafood,50
10,0,abbey,' 163 ponce de leon ave. ',atlanta,404/876 -8532,international,379,eats,' 600 ponce de leon ave. ',atlanta,404-888-9149,italian,690
11,0,` fifty seven fifty seven ','57 e. 57th st. ',` new york ',212/758 -5757,american,239,oceana,'55 e. 54th st. ',` new york city ',212-759-5941,seafood,50
12,0,` grand cafe hotel monaco ',' 501 geary st. ',` san francisco ',415/292 -0101,american,473,` mel \ 's drive-in ',' 3355 geary st. ',` san francisco ',415-387-2244,hamburgers,739
13,0,` horseradish grill ',' 4320 powers ferry rd. ',atlanta,404/255 -7277,southern,398,` carey \ 's corner ',' 1215 powers ferry rd. ',marietta,770-933-0909,hamburgers,686
14,0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
15,0,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195,` les celebrites ',' 155 w. 58th st. ',` new york city ',212-484-5113,` french ( classic ) ',42
16,0,eclipse,' 8800 melrose ave. ',` los angeles ',310/724 -5959,californian,132,` mo better meatty meat ',' 7261 melrose ave. ',la,213-935-5280,hamburgers,579
17,0,` pacific dining car ',' 6th st. ',` los angeles ',213/483 -6000,american,153,` andre \ 's french restaurant ',' 401 s. 6th st. ',` las vegas ',702-385-5016,` french ( classic ) ',656
18,1,` rainbow room ','30 rockefeller plaza ',` new york ',212/632 -5000,` or 212/632 -5100 american ',55,` rainbow room ','30 rockefeller plaza ',` new york city ',212-632-5000,` american ( new ) ',55
19,1,` cafe claude ',' 7 claude la . ',` san francisco ',415/392 -3505,french,97,` cafe claude ',' 7 claude ln . ',` san francisco ',415-392-3505,` french bistro ',97
20,0,` yolie \ 's ',' 3900 paradise rd. ',` las vegas ',702/794 -0700,` steak houses ',452,` nicky blair \ 's ',' 3925 paradise rd. ',` las vegas ',702-792-9900,italian,668
21,0,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,asian,83,` rose of india ',' 308 e. sixth st. ',` new york city ',212-533-5011,indian,638
22,0,` l \ ` osteria del forno ',' 519 columbus ave. ',` san francisco ',415/982 -1124,italian,490,` campo santo ',' 240 columbus ave. ',` san francisco ',415-433-9623,mexican,724
23,0,` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,427,moongate,' 3400 las vegas blvd. s. ',` las vegas ',702-791-7352,chinese,666
24,0,maykadeh,' 470 green st. ',` san francisco ',415/362 -8286,` greek and middle eastern ',495,` greenwood \ 's ',' 1087 green st. ',roswell,770-992-5383,southern/soul,693
25,0,dawat,' 210 e. 58th st. ',` new york ',212/355 -7555,asian,32,petrossian,' 182 w. 58th st. ',` new york city ',212-245-2214,russian,52
26,0,` the bacchanal ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7525,` only in las vegas ',449,` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72
27,0,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784 -4400,italian,156,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',590
28,0,` antonio \ 's ',' 3700 w. flamingo ',` las vegas ',702/252 -7737,italian,423,` buzio \ 's in the rio ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7697,seafood,658
29,0,` ruth \ 's chris ',' 148 w. 51st st. ',` new york ',212/245 -9600,american,338,` le bernardin ',' 155 w. 51st st. ',` new york city ',212-489-1515,seafood,41
30,0,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,patina,' 5955 melrose ave. ',` los angeles ',213-467-1108,californian,16
31,0,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` sterling brunch ',' 3645 las vegas blvd. s. ',` las vegas ',702-739-4651,eclectic,673
32,0,` l \ ` orangerie ',' 903 n. la cienega blvd. ',` los angeles ',310/652 -9770,french,11,matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310-659-9639,seafood,14
33,0,vong,' 200 e. 54th st. ',` new york ',212/486 -9592,american,373,` sparks steak house ',' 210 e. 46th st. ',` new york city ',212-687-4855,steakhouses,641
34,0,` margarita \ 's mexican cantina ',' 3120 las vegas blvd. s ',` las vegas ',702/794 -8200,mexican,444,` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72
35,0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709
36,0,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74
37,0,helmand,' 430 broadway ',` san francisco ',415/362 -0641,` greek and middle eastern ',479,` la caridad ',' 2199 broadway ',` new york city ',212-874-2780,cuban,622
38,0,` ralph \ 's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',448,` tre visi ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7331,italian,674
39,0,` yoyo tsumami bistro ',' 1611 post st. ',` san francisco ',415/922 -7788,french,530,postrio,' 545 post st. ',` san francisco ',415-776-7825,californian,109
40,1,seryna,'11 e. 53rd st. ',` new york ',212/980 -9393,asian,59,seryna,'11 e. 53rd st. ',` new york city ',212-980-9393,japanese,59
41,0,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682
42,0,mikado,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,asian,446,` monte carlo ',' 3145 las vegas blvd. s. ',` las vegas ',702-733-4524,` french ( new ) ',665
43,0,bistro,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,429,moongate,' 3400 las vegas blvd. s. ',` las vegas ',702-791-7352,chinese,666
44,0,` cafe fes ',' 246 w. 4th st. at charles st. ',` new york ',212/924 -7653,mediterranean,205,` cafe flore ',' 2298 market st. ',` san francisco ',415-621-8579,californian,722
45,0,mikado,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,asian,446,` sterling brunch ',' 3645 las vegas blvd. s. ',` las vegas ',702-739-4651,eclectic,673
46,0,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',590
47,1,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,french,106,` masa \ 's ',' 648 bush st. ',` san francisco ',415-989-7154,` french ( new ) ',106
48,0,'em press court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7888,asian,438,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,670
49,1,` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,american,47,` mesa grill ',' 102 fifth ave. ',` new york city ',212-807-7400,southwestern,47
50,0,` chin \ 's ',' 3200 las vegas blvd. s ',` las vegas ',702/733 -8899,asian,67,` michael \ 's ( las vegas ) ',' 3595 las vegas blvd. s. ',` las vegas ',702-737-7111,continental,664
51,0,patina,' 5955 melrose ave. ',` los angeles ',213/467 -1108,californian,16,` mo better meatty meat ',' 7261 melrose ave. ',la,213-935-5280,hamburgers,579
52,0,triangolo,' 345 e. 83rd st. ',` new york ',212/472 -4488,italian,363,` cafe lalo ',' 201 w. 83rd st. ',` new york city ',212-496-6031,coffeehouses,26
53,0,` gilliland \ 's ',' 2424 main st. ',` santa monica ',310/392 -3901,american,135,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5
54,1,` nikolai \ 's roof ',' 255 courtland st. at harris st. ',atlanta,404/221 -6362,continental,87,` nikolai \ 's roof ',' 255 courtland st. ',atlanta,404-221-6362,continental,87
55,0,dawat,' 210 e. 58th st. ',` new york ',212/355 -7555,asian,32,` sparks steak house ',' 210 e. 46th st. ',` new york city ',212-687-4855,steakhouses,641
56,1,` le bernardin ',' 155 w. 51st st. ',` new york ',212/489 -1515,french,41,` le bernardin ',' 155 w. 51st st. ',` new york city ',212-489-1515,seafood,41
57,0,faz,' 161 sutter st. ',` san francisco ',415/362 -0404,` greek and middle eastern ',469,` fleur de lys ',' 777 sutter st. ',` san francisco ',415-673-7779,` french ( new ) ',100
58,0,` veni vidi vici ','41 14th st. ',atlanta,404/875 -8424,italian,93,` bobby & june \ 's kountry kitchen ',' 375 14th st. ',atlanta,404-876-3872,southern/soul,680
59,0,mikado,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,asian,446,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,670
60,0,cite,' 120 w. 51st st. ',` new york ',212/956 -7100,french,220,` le bernardin ',' 155 w. 51st st. ',` new york city ',212-489-1515,seafood,41
61,1,oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,oceana,'55 e. 54th st. ',` new york city ',212-759-5941,seafood,50
62,0,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
63,0,` cafe roma ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,` coffee shops/diners ',433,` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72
64,0,manora,' 3226 mission st. ',` san francisco ',415/861 -6224,asian,494,boulevard,' 1 mission st. ',` san francisco ',415-543-6084,` american ( new ) ',96
65,0,` canter \ 's ',' 419 n. fairfax ave. ',` los angeles ',213/651 -2030 .,american,122,` carey \ 's ',' 1021 cobb pkwy . se ',marietta,770-422-8042,hamburgers,685
66,0,` hong kong villa ',' 2332 clement st. ',` san francisco ',415/752 -8833,asian,481,` alain rondelli ',' 126 clement st. ',` san francisco ',415-387-0408,` french ( new ) ',94
67,0,mikado,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,asian,446,` coyote cafe ( las vegas ) ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7349,southwestern,68
68,0,` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,427,` sterling brunch ',' 3645 las vegas blvd. s. ',` las vegas ',702-739-4651,eclectic,673
69,0,helmand,' 430 broadway ',` san francisco ',415/362 -0641,` greek and middle eastern ',479,` gray \ 's papaya ',' 2090 broadway ',` new york city ',212-799-0243,` hot dogs ',614
70,0,` cafe roma ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,` coffee shops/diners ',433,moongate,' 3400 las vegas blvd. s. ',` las vegas ',702-791-7352,chinese,666
71,0,` jack \ 's ',' 615 sacramento st. ',` san francisco ',415/986 -9854,` old san francisco ',485,` joe \ 's ',' 1023 abbot kinney blvd. ',venice,310-399-5811,` american ( new ) ',560
72,0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708
73,0,lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,43
74,0,'em press court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7888,asian,438,` madame ching \ 's ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7111,asian,662
75,0,` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404/876 -1800,southern,86,tortillas,' 774 ponce de leon ave. ne ',atlanta,404-892-0193,tex-mex,716
76,0,valentino,' 3115 pico blvd. ',` santa monica ',310/829 -4313,italian,21,` rae \ 's ',' 2901 pico blvd. ',` santa monica ',310-828-7937,diners,589
77,0,lulu,' 816 folsom st. ',` san francisco ',415/495 -5775,mediterranean,105,` hamburger mary \ 's ',' 1582 folsom st. ',` san francisco ',415-626-1985,hamburgers,732
78,0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719
79,0,` broadway deli ',' 3rd st. promenade ',` santa monica ',310/451 -0616,american,117,` benita \ 's frites ',' 1433 third st. promenade ',` santa monica ',310-458-2889,` fast food ',538
80,0,bistro,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,429,'em eril \ 's new orleans fish house ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7374,seafood,659
81,0,` pano \ 's and paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404/261 -3662,international,88,canoe,' 4199 paces ferry rd. ',atlanta,770-432-2663,` american ( new ) ',684
82,0,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90
83,0,vong,' 200 e. 54th st. ',` new york ',212/486 -9592,american,373,` second street grill ',' 200 e. fremont st. ',` las vegas ',702-385-6277,` pacific rim ',71
84,0,` hedgerose heights inn ',' 490 e. paces ferry rd. ',atlanta,404/233 -7673,international,82,` pano \ 's & paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404-261-3662,` american ( new ) ',88
85,0,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,american,110,` ritz-carlton restaurant ',' 181 peachtree st. ',atlanta,404-659-0400,` french ( classic ) ',91
86,0,` cafe roma ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,` coffee shops/diners ',433,` morton \ 's of chicago ( las vegas ) ',' 3200 las vegas blvd. s. ',` las vegas ',702-893-0703,steakhouses,667
87,0,` fleur de jour ',' 348 e. 62nd st. ',` new york ',212/355 -2020,` coffee bar ',245,` fleur de lys ',' 777 sutter st. ',` san francisco ',415-673-7779,` french ( new ) ',100
88,0,` dix et sept ',' 181 w. 10th st. ',` new york ',212/645 -8023,french,228,petrossian,' 182 w. 58th st. ',` new york city ',212-245-2214,russian,52
89,0,` jimmy \ 's ',' 201 moreno dr. ',` los angeles ',310/552 -2394,continental,142,` tommy \ 's ',' 2575 beverly blvd. ',la,213-389-9060,hamburgers,598
90,0,petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,` les celebrites ',' 155 w. 58th st. ',` new york city ',212-484-5113,` french ( classic ) ',42
91,0,aqua,' 252 california st. ',` san francisco ',415/956 -9662,seafood,95,'em erald garden restaurant ',' 1550 california st. ',` san francisco ',415-673-1155,vietnamese,730
92,0,eclipse,' 8800 melrose ave. ',` los angeles ',310/724 -5959,californian,132,` sweet lady jane ',' 8360 melrose ave. ',la,213-653-7145,desserts,596
93,0,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
94,0,` victor \ 's cafe ','52 236 w. 52nd st. ',` new york ',212/586 -7714,` latin american ',371,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23
95,0,` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,670
96,1,valentino,' 3115 pico blvd. ',` santa monica ',310/829 -4313,italian,21,valentino,' 3115 pico blvd. ',` santa monica ',310-829-4313,italian,21
97,0,` sarabeth \ 's kitchen ',' 423 amsterdam ave. between 80th and 81st sts . ',` new york ',212/496 -6280,american,344,` sarabeth \ 's ',' 1295 madison ave. ',` new york city ',212-410-7335,american,640
98,1,` river cafe ',' 1 water st. at the east river ',brooklyn,718/522 -5200,american,56,` river cafe ',' 1 water st. ',brooklyn,718-522-5200,` american ( new ) ',56
99,1,` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85
100,0,bistro,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,429,` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72
